Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Status
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.96,1418,2,5,5,8,3,6,8,3.98,Yes
Computer Science,Computer Science and Electrical Engineering,2.89,1411,8,4,4,10,5,1,1,2.28,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.52,943,12,5,10,2,1,6,4,3.6,No
Environmental Engineering,Computer Science and Electrical Engineering,2.28,1392,22,7,8,1,8,9,9,2.93,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.73,818,9,8,2,2,9,10,5,3.51,Yes
Computer Engineering,Information Systems,2.84,962,29,10,7,5,1,6,5,1.46,Yes
Computer Engineering,Computer Science and Electrical Engineering,0.06,1093,3,10,0,3,9,1,0,2.57,Yes
Chemical Engineering,Information Systems,3.77,985,22,8,6,1,4,9,7,1.49,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",1.44,983,4,10,7,4,0,1,6,3.27,Yes
Electrical Engineering,Mechanical Engineering,0.71,862,29,2,8,7,5,10,9,3.06,Yes
Computer Science,Computer Science and Electrical Engineering,1.89,975,13,0,10,4,10,9,10,3.12,No
Chemical Engineering,Mechanical Engineering,2.93,1548,24,9,10,4,2,0,4,0.78,Yes
Cybersecurity Informatics,Information Systems,3.31,1121,2,5,9,5,5,2,8,3.43,No
Mechanical Engineering,Information Systems,2.88,990,3,6,0,8,8,6,10,3.99,Yes
Information Systems,Mechanical Engineering,1.6,1498,15,5,0,0,10,1,7,3.32,Yes
Chemical Engineering,Mechanical Engineering,2.73,850,24,4,7,1,7,6,9,1.93,Yes
Business Tech0logy Administration,Information Systems,1.73,916,26,9,1,7,1,2,5,1.22,Yes
Information Systems,Mechanical Engineering,3.95,1107,8,10,5,7,8,4,1,0.52,Yes
Computer Science,Information Systems,3.99,1134,5,4,7,4,0,0,0,1.65,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1,1173,8,9,9,4,2,2,10,1.08,Yes
Computer Science,Information Systems,1.93,1120,32,2,5,5,9,8,4,1.73,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.31,1469,31,3,8,7,9,3,1,0.21,No
Business Tech0logy Administration,Information Systems,2.54,1227,8,9,7,3,3,9,6,1.17,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1.74,919,17,2,6,3,4,5,10,3.84,Yes
Computer Science,Information Systems,2.1,1375,23,8,4,0,6,3,5,0.48,Yes
Environmental Engineering,Mechanical Engineering,2.22,880,13,2,0,9,2,3,9,0.3,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.55,1095,15,4,1,10,5,3,1,2.76,No
Mechanical Engineering,Computer Science and Electrical Engineering,1.28,1399,28,5,1,0,7,2,5,3.31,Yes
Electrical Engineering,Information Systems,2.54,1370,30,7,0,6,10,5,0,0.39,Yes
Computer Science,Mechanical Engineering,1.77,914,15,9,4,4,4,5,8,3.83,No
Computer Engineering,Computer Science and Electrical Engineering,3.89,1141,8,5,2,4,0,6,0,0.15,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.5,1582,15,5,7,0,4,0,0,3.5,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.78,1047,34,5,1,1,2,1,0,3.32,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.71,1164,20,0,10,2,3,10,3,2.67,No
Chemical Engineering,Mechanical Engineering,2.63,1076,13,9,2,4,9,9,0,2.53,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.77,890,21,10,10,1,6,7,8,3.13,Yes
Cybersecurity Informatics,Mechanical Engineering,1.14,1583,23,5,8,10,2,8,10,0.31,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,1.98,1048,3,0,1,6,0,3,2,1.51,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.79,846,22,1,8,5,7,4,5,0.37,No
Computer Science,Computer Science and Electrical Engineering,3.78,1005,29,7,8,9,3,7,10,0.62,Yes
Cybersecurity Informatics,Information Systems,0.08,1123,30,7,2,7,2,9,8,3.32,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.58,1388,24,1,10,0,5,10,7,2.81,Yes
Bioinformatics and Computational Biology,Information Systems,1.36,1060,25,2,4,7,9,3,5,1.47,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.89,903,12,5,9,2,3,9,9,1.62,No
Computer Engineering,Mechanical Engineering,2.18,1433,20,3,1,7,6,10,3,2.71,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.46,1284,33,8,0,5,10,1,9,2.56,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.04,999,22,6,10,2,6,7,4,1.95,Yes
Environmental Engineering,Mechanical Engineering,2.7,1094,19,9,2,1,2,7,2,3,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.53,1138,32,8,7,4,1,7,6,0.84,Yes
Chemical Engineering,Mechanical Engineering,3.69,1065,26,6,1,0,3,6,9,1.21,No
Information Systems,Mechanical Engineering,2.97,1289,7,5,4,2,9,6,4,0.26,No
Chemical Engineering,Computer Science and Electrical Engineering,2.06,966,8,3,3,3,5,10,5,2.29,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.81,1308,11,7,8,5,10,10,1,3.04,No
Business Tech0logy Administration,Information Systems,2.75,1266,16,5,9,7,9,10,9,2.1,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.23,958,9,9,4,9,2,8,10,1.47,No
Bioinformatics and Computational Biology,Information Systems,3.83,1557,4,4,0,7,8,1,6,0.8,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.56,877,11,5,6,5,9,0,3,2.24,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.28,1272,10,5,8,3,6,9,6,0.55,Yes
Information Systems,Information Systems,0.84,1319,29,1,5,7,5,9,0,2.17,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.52,1550,5,2,9,9,3,3,0,0.74,No
Information Systems,Information Systems,0.64,932,3,9,7,0,3,10,1,0.38,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),1.86,1061,13,8,8,3,3,5,2,3.86,No
Mechanical Engineering,Computer Science and Electrical Engineering,1.92,1533,16,7,10,1,8,2,3,0.24,Yes
Environmental Engineering,Information Systems,1.85,1287,8,7,6,9,9,6,1,3.53,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.29,900,28,0,4,8,2,8,2,3.83,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.96,1416,24,8,2,4,2,10,4,2.78,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.47,1433,2,3,3,5,10,1,3,3.86,Yes
Information Systems,Information Systems,3.09,1266,6,10,3,9,6,10,7,3.03,Yes
Mechanical Engineering,Information Systems,2.57,1289,19,1,6,2,2,2,6,0.72,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.31,1226,18,6,8,7,9,1,4,2.23,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.93,1521,24,5,1,3,3,6,9,2.87,Yes
Business Tech0logy Administration,Information Systems,3.07,1054,20,8,9,7,7,2,10,2.37,Yes
Environmental Engineering,Mechanical Engineering,3.22,1588,24,10,1,3,4,9,8,1.68,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.96,1156,2,1,3,2,3,10,1,1.32,Yes
Mechanical Engineering,Information Systems,0.88,987,16,5,7,2,4,6,0,3.64,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.04,1098,35,10,9,10,8,1,4,3.39,Yes
Information Systems,Mechanical Engineering,3.2,1237,7,7,0,2,2,5,1,3.42,Yes
Chemical Engineering,Information Systems,2.27,1264,30,5,10,2,8,2,3,1.53,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.79,1470,35,7,5,10,2,8,2,1.72,No
Environmental Engineering,Computer Science and Electrical Engineering,3.09,1524,16,1,10,4,7,3,1,3.9,Yes
Mechanical Engineering,Mechanical Engineering,1.17,1302,16,8,0,7,5,5,5,3.48,Yes
Computer Engineering,Mechanical Engineering,1.13,1386,24,5,8,3,4,8,5,2.67,Yes
Computer Science,Mechanical Engineering,2.83,1391,14,6,4,10,10,7,4,1.24,Yes
Business Tech0logy Administration,Mechanical Engineering,2.05,872,16,1,2,8,10,9,4,1.46,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.05,914,32,9,0,5,5,3,8,2.83,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.83,1590,7,7,3,3,3,4,6,0.17,Yes
Information Systems,Information Systems,3.2,902,25,10,9,3,3,2,5,3.68,No
Chemical Engineering,Information Systems,1.02,1334,23,8,5,9,8,2,3,1.26,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.63,1058,2,2,7,3,7,6,4,1.27,Yes
Environmental Engineering,Information Systems,3.32,1488,9,3,8,3,9,2,0,0,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.29,1381,32,10,3,1,4,9,10,2.64,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1.28,947,22,5,4,5,5,9,1,2.08,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.36,1006,18,2,7,0,8,3,2,1.93,Yes
Cybersecurity Informatics,Information Systems,1.56,1421,23,9,2,10,3,4,0,1.69,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",1.04,829,9,6,3,9,1,9,1,1.18,Yes
Business Tech0logy Administration,Information Systems,2.57,1215,27,7,9,2,5,9,7,1.69,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.58,1559,34,4,5,4,8,8,10,0.02,No
Environmental Engineering,Information Systems,2.17,1381,9,4,4,5,5,5,4,1.2,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",1.09,1214,21,2,7,7,6,2,4,3.7,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.45,828,17,3,9,3,10,10,9,3.29,Yes
Information Systems,Information Systems,0.82,1077,5,2,10,3,4,2,9,2.52,No
Electrical Engineering,Computer Science and Electrical Engineering,3.51,1479,14,7,1,0,8,5,8,3.31,Yes
Chemical Engineering,Information Systems,0.72,1262,18,2,8,10,10,5,3,2.17,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,1.48,884,24,1,0,9,7,6,4,0.38,Yes
Bioinformatics and Computational Biology,Information Systems,3.12,864,9,5,1,7,8,8,6,1.84,No
Computer Science,Mechanical Engineering,1.97,957,31,7,7,1,0,10,9,3.7,Yes
Information Systems,Information Systems,0.95,1057,21,9,7,5,9,2,5,0.26,Yes
Mechanical Engineering,Information Systems,2.65,1335,35,7,7,8,2,5,9,2.95,Yes
Cybersecurity Informatics,Mechanical Engineering,0.51,1232,26,5,1,5,6,9,3,2.8,No
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),0.86,1252,17,5,7,0,3,8,9,1.29,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.03,1579,4,5,4,4,0,9,6,3.47,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.34,1060,7,4,3,10,2,0,1,2.65,Yes
Information Systems,Information Systems,2.21,1537,3,3,1,7,4,10,2,0.87,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.08,1325,31,1,8,0,6,5,1,2.56,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.39,1003,21,10,2,0,0,5,8,3.31,No
Electrical Engineering,Information Systems,3.12,1566,14,4,4,9,5,7,7,3.51,Yes
Mechanical Engineering,Mechanical Engineering,0.53,1594,27,1,3,1,4,10,3,3.8,No
Environmental Engineering,Mechanical Engineering,3.76,1377,23,8,8,8,8,4,8,0.19,Yes
Business Tech0logy Administration,Information Systems,0.26,976,10,3,3,4,7,10,2,0.63,Yes
Mechanical Engineering,Mechanical Engineering,3.52,1356,21,0,4,3,6,10,6,0.68,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.19,1349,3,9,10,3,3,2,5,0.96,Yes
Computer Science,Computer Science and Electrical Engineering,2.8,1250,11,0,7,4,8,2,10,2.74,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.33,1113,13,9,3,0,2,4,4,1.67,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.88,1155,9,4,10,3,2,7,1,0.48,Yes
Mechanical Engineering,Mechanical Engineering,1.92,865,15,10,1,2,9,7,0,3.9,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.11,1416,2,7,10,5,3,7,2,0.4,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.87,1417,24,10,9,10,6,4,8,3.52,Yes
Computer Engineering,Mechanical Engineering,0.53,1468,13,6,1,9,10,2,4,1.36,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",1.07,1040,24,6,9,6,8,4,4,0.49,No
Computer Science,Computer Science and Electrical Engineering,3.36,1306,23,4,8,0,6,1,1,0.21,Yes
Computer Science,Mechanical Engineering,3.16,803,34,8,9,0,10,3,2,1.9,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.96,1238,3,4,5,1,4,3,1,1.65,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.09,1449,14,0,0,10,6,6,6,1.95,No
Information Systems,Computer Science and Electrical Engineering,0.57,1176,26,4,9,9,0,9,2,2.67,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.35,843,1,10,1,4,6,10,4,1.09,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),2.77,1520,29,2,8,8,0,7,0,0.01,No
Chemical Engineering,Information Systems,1.26,861,12,2,7,3,3,7,3,2.16,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.38,1149,5,4,8,3,2,4,5,0.21,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.91,804,7,0,10,8,1,10,10,3.27,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.64,843,35,7,5,9,7,8,9,3.23,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.19,1194,7,8,2,0,0,7,3,0.48,Yes
Mechanical Engineering,Mechanical Engineering,0.64,1300,25,9,10,2,4,2,10,3.81,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.33,872,32,3,3,9,0,8,6,1.61,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.64,974,28,0,6,6,6,7,5,2.24,Yes
Information Systems,Computer Science and Electrical Engineering,1.09,813,26,1,7,5,10,9,4,3,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.78,818,10,6,9,4,2,2,5,0.76,Yes
Computer Science,Computer Science and Electrical Engineering,3.03,1324,33,0,8,6,5,1,2,0.04,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.73,1332,9,2,9,1,6,1,1,2.95,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.67,1034,35,6,7,1,9,7,8,3.16,Yes
Computer Engineering,Information Systems,0.85,1377,6,3,1,6,10,8,9,2.64,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.16,1597,18,9,1,7,0,7,0,2.49,Yes
Information Systems,Mechanical Engineering,2.36,950,4,3,4,1,10,7,2,3.61,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.47,991,19,0,1,10,9,10,6,3.53,No
Computer Engineering,Mechanical Engineering,1.07,1466,6,7,0,0,6,3,9,0.38,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.45,1440,33,3,9,10,10,4,4,0.81,Yes
Environmental Engineering,Information Systems,0.01,1126,4,8,10,4,7,2,1,2.57,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),1.88,1462,33,4,10,0,0,7,8,0.32,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),1.59,1406,4,5,3,9,9,2,6,2.19,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.48,1170,21,5,0,10,2,6,2,0.56,Yes
Chemical Engineering,Mechanical Engineering,3.56,1468,28,8,3,9,7,5,4,3.78,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.43,804,7,2,3,8,5,5,0,1.56,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.06,1258,8,5,5,4,1,0,8,0.93,Yes
Business Tech0logy Administration,Information Systems,2.94,1288,35,8,9,7,1,7,0,3.02,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.72,832,12,7,4,3,5,8,4,0.82,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),0.31,892,19,6,8,0,6,3,9,3.42,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.88,806,18,3,9,8,2,3,8,3.31,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.17,1228,28,4,7,10,6,7,6,1.02,Yes
Chemical Engineering,Mechanical Engineering,0.24,1577,32,6,5,3,7,5,8,1.33,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",0.56,1048,30,10,10,10,3,7,5,0.14,No
Computer Science,Information Systems,0.89,872,32,5,5,2,1,6,5,1.2,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.83,1456,22,10,5,1,4,7,8,0.65,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.06,1539,5,4,3,0,4,3,0,0.14,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.17,933,7,8,4,8,9,10,2,3.8,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.12,854,9,4,3,0,8,10,8,3.77,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2,1184,3,5,1,3,0,1,2,2.5,No
Computer Science,Mechanical Engineering,3.73,1066,19,9,4,1,1,0,3,1.85,Yes
Computer Engineering,Mechanical Engineering,0.05,1162,18,10,0,7,4,4,3,1.88,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",1.98,1200,30,6,8,4,9,9,1,2.53,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.01,1051,8,1,9,10,6,9,0,0.99,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.05,1478,29,4,8,2,3,8,3,2.75,Yes
Electrical Engineering,Mechanical Engineering,0.69,1000,17,5,8,3,7,7,7,0.11,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.5,1455,19,2,1,2,6,6,2,2.61,Yes
Information Systems,Computer Science and Electrical Engineering,1.62,1364,14,3,10,9,3,0,4,2.07,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",0.54,890,16,1,2,1,0,9,8,2.78,Yes
Computer Engineering,Information Systems,0.14,1288,15,6,7,5,9,3,7,2.45,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",2.76,1572,18,1,1,5,10,10,7,1.02,No
Bioinformatics and Computational Biology,Information Systems,3.71,1157,31,10,5,2,5,1,6,2.15,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.88,1063,13,1,8,4,0,8,8,2.64,Yes
Cybersecurity Informatics,Mechanical Engineering,3.5,1256,9,4,6,8,6,9,9,0.06,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.56,802,7,4,2,9,2,10,10,3.87,Yes
Computer Science,Mechanical Engineering,3.62,826,33,5,7,0,6,2,4,1.5,No
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.57,849,24,1,8,6,5,8,10,1.09,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",0.25,1109,27,8,4,0,9,4,10,2.85,Yes
Business Tech0logy Administration,Information Systems,0.68,1367,10,1,7,5,4,1,7,3.15,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),1.54,947,13,0,7,4,6,9,5,1.67,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.22,896,22,3,0,3,4,3,10,2.42,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.34,1427,6,1,1,2,9,5,0,1.06,Yes
Computer Science,Computer Science and Electrical Engineering,2.94,1433,21,6,6,9,1,7,3,2.81,Yes
