Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Cybersecurity Informatics,Information Systems,3.8,1369,34,7,2,10,10,7,10,3.49,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.26,1427,31,4,7,3,9,8,10,3.41,Yes
Cybersecurity Informatics,Information Systems,2.94,1224,35,6,6,5,9,9,6,3.43,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.39,1591,20,10,6,2,5,5,8,3.43,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.39,1022,20,4,1,5,7,8,8,2.53,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.67,1377,29,10,1,7,4,1,1,3.52,Yes
Electrical Engineering,Mechanical Engineering,2.9,1543,23,8,8,3,0,5,10,4,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),3.42,1124,20,5,0,10,7,1,5,3.22,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.68,1544,35,4,7,7,3,8,1,3.7,No
Computer Engineering,Information Systems,3.98,1054,27,5,4,4,9,1,1,3.92,Yes
Computer Science,Computer Science and Electrical Engineering,2.73,1559,24,8,7,7,2,10,0,3.28,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.75,1435,26,6,2,6,1,10,3,3.46,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.63,1212,33,6,9,0,6,10,10,3.68,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.96,1004,33,1,0,4,1,7,1,3.83,Yes
Bioinformatics and Computational Biology,Information Systems,2.61,1031,28,0,9,4,1,0,5,3.43,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.67,1488,24,8,4,7,4,7,10,3.32,Yes
Cybersecurity Informatics,Information Systems,2.54,1474,34,3,8,3,7,10,2,3.51,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.77,1250,24,10,0,9,9,5,7,3.12,Yes
Mechanical Engineering,Mechanical Engineering,3.5,1496,32,1,1,5,10,3,2,2.69,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.94,1383,31,4,2,10,9,0,10,3.11,Yes
Information Systems,Computer Science and Electrical Engineering,3.11,1380,27,2,5,8,8,8,1,3.57,Yes
Computer Engineering,Information Systems,3.71,1365,27,1,6,0,9,8,0,4,Yes
Electrical Engineering,Information Systems,3.77,1102,32,9,6,7,3,1,5,2.91,Yes
Electrical Engineering,Information Systems,3.35,1362,22,3,8,9,1,1,10,3.17,Yes
Environmental Engineering,Information Systems,3.29,1507,29,5,3,8,9,10,10,3.51,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.28,1597,29,5,9,7,2,5,8,3.69,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.48,1105,22,6,10,0,8,3,1,2.67,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.87,1011,33,4,5,4,5,9,7,3.49,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.86,1363,23,9,2,7,3,5,3,3.69,No
Bioinformatics and Computational Biology,Information Systems,2.57,1376,28,3,3,7,6,0,9,2.94,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.88,1016,28,7,8,6,2,8,3,3.16,No
Computer Engineering,Mechanical Engineering,2.97,1099,20,8,10,10,9,3,0,3.49,Yes
Environmental Engineering,Information Systems,3.04,1465,22,9,0,9,8,9,5,3.21,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.54,1431,25,5,9,2,3,0,1,3.02,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.64,1432,29,1,2,4,1,2,3,2.66,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),2.68,1564,34,5,1,3,10,5,5,3.17,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.75,1034,34,2,6,2,2,2,2,2.77,Yes
Chemical Engineering,Information Systems,3.86,1214,35,4,3,3,4,2,6,3.98,Yes
Bioinformatics and Computational Biology,Information Systems,2.71,1208,32,0,9,2,3,4,10,3.35,No
Electrical Engineering,Computer Science and Electrical Engineering,3.43,1502,28,5,6,5,7,8,2,3.32,Yes
Cybersecurity Informatics,Information Systems,3.34,1252,29,5,1,3,3,5,9,3.26,Yes
Mechanical Engineering,Information Systems,3.27,1241,29,10,3,4,9,8,7,2.68,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.75,1049,22,4,7,3,10,10,3,3.93,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.84,1238,21,3,9,7,3,4,0,3.25,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",4,1583,27,8,3,10,2,0,5,3.16,Yes
Chemical Engineering,Mechanical Engineering,3.66,1103,24,6,7,2,9,1,10,2.62,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.77,1090,28,4,5,3,10,7,10,3.96,Yes
Environmental Engineering,Information Systems,3.78,1136,20,6,4,1,6,8,6,3.94,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.62,1537,28,1,3,8,8,2,5,3.41,Yes
Computer Science,Information Systems,3.39,1219,30,4,10,4,7,8,4,3.12,Yes
Computer Science,Mechanical Engineering,2.61,1267,29,8,7,0,6,4,1,3.08,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.77,1214,25,4,4,2,7,4,10,3.03,No
Information Systems,Information Systems,3.45,1425,27,6,9,2,0,10,8,3,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.8,1004,27,2,4,9,8,5,0,3.18,Yes
Business TechNology Administration,Mechanical Engineering,2.71,1499,26,4,4,3,2,4,7,2.85,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.78,1405,31,10,4,7,10,10,9,3.03,Yes
Chemical Engineering,Information Systems,2.96,1579,31,8,6,4,4,7,6,2.96,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.09,1575,21,9,1,4,6,8,3,3.87,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.66,1538,22,8,0,3,7,8,2,3.95,Yes
Computer Science,Mechanical Engineering,2.57,1167,23,6,6,8,2,6,3,3.01,No
Electrical Engineering,Information Systems,3.57,1375,33,1,1,2,1,3,9,3.57,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.6,1308,33,0,6,1,1,6,7,3.16,No
Computer Science,Mechanical Engineering,3.61,1268,22,6,3,9,10,10,1,3.6,Yes
Information Systems,Information Systems,3.41,1125,20,3,2,10,9,10,6,3.73,No
Electrical Engineering,Information Systems,3.33,1461,21,5,2,4,8,10,2,2.83,Yes
Chemical Engineering,Mechanical Engineering,3.36,1193,35,0,2,0,4,5,0,3.24,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.16,1573,35,1,8,2,3,1,7,2.79,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.02,1121,23,6,8,3,2,3,8,3.47,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.19,1440,28,9,8,1,8,10,4,3.16,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3,1214,34,5,7,10,7,5,8,3.91,Yes
Information Systems,Information Systems,3.38,1046,26,2,1,7,4,7,7,3.92,Yes
Environmental Engineering,Information Systems,3.66,1082,24,7,10,4,3,6,4,3,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.04,1351,21,8,9,6,1,3,3,3.54,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.77,1393,35,2,10,7,10,6,8,3.18,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.56,1405,23,5,7,1,5,3,7,2.97,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.58,1350,30,1,5,9,4,0,8,3.52,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.92,1289,33,10,1,5,4,6,4,3.27,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.55,1291,34,8,8,1,5,9,2,2.63,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.87,1597,24,4,5,8,0,2,7,3.34,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.75,1506,31,5,8,6,5,8,0,3.85,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.57,1102,29,2,2,5,5,4,1,2.81,Yes
Business TechNology Administration,Mechanical Engineering,2.87,1158,25,8,5,2,6,7,8,3.38,Yes
Information Systems,Computer Science and Electrical Engineering,3.65,1458,29,5,7,9,3,2,10,3.1,Yes
Cybersecurity Informatics,Information Systems,3.67,1216,32,1,7,9,10,9,8,2.76,Yes
Information Systems,Information Systems,3.26,1284,34,10,3,9,10,7,5,2.75,Yes
Cybersecurity Informatics,Information Systems,3.77,1039,31,3,10,9,4,8,7,3.74,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.03,1533,22,1,6,6,9,8,6,3.3,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.89,1083,26,7,4,1,3,5,8,3.91,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.53,1220,27,1,0,3,8,10,7,3.68,Yes
Computer Science,Computer Science and Electrical Engineering,3.03,1372,29,4,6,6,0,4,1,2.72,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.1,1546,30,0,0,7,0,0,1,2.75,No
Business TechNology Administration,Information Systems,3.35,1025,33,1,4,0,5,10,7,3.48,Yes
Business TechNology Administration,Information Systems,3.97,1061,25,4,5,6,8,3,6,3.61,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.62,1059,23,1,9,8,9,3,4,3.16,No
Chemical Engineering,Information Systems,3.18,1120,21,5,0,3,8,1,9,3.16,Yes
Business TechNology Administration,Information Systems,2.95,1006,24,10,1,8,1,4,5,3.63,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.5,1416,21,6,10,8,4,4,0,3.4,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.86,1262,28,0,10,6,5,3,7,3.29,No
Computer Science,Biological Sciences (in collaboration with COEIT),3.71,1551,21,7,7,9,10,10,3,3.88,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.46,1416,33,4,1,10,4,10,5,3.93,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.18,1422,22,2,4,5,3,0,9,2.82,Yes
Environmental Engineering,Information Systems,3.19,1200,26,4,5,9,8,2,7,3.08,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.62,1162,33,8,0,4,9,7,2,3.97,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.68,1383,32,4,6,3,3,6,10,3.07,Yes
Mechanical Engineering,Information Systems,3.2,1485,32,3,9,8,5,6,2,3.14,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.2,1461,29,5,4,1,6,8,10,3.84,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.82,1577,27,4,8,7,8,0,9,3.1,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.76,1402,33,6,1,9,1,8,5,2.76,Yes
Chemical Engineering,Information Systems,2.68,1331,27,7,9,4,2,4,5,2.78,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.56,1120,32,10,4,6,5,1,1,3.99,Yes
Computer Science,Mechanical Engineering,3.06,1013,21,6,4,1,9,10,8,2.63,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.5,1107,27,7,5,6,10,3,9,3.31,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.6,1387,21,4,3,0,7,0,8,2.66,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.79,1533,27,3,9,8,1,8,6,2.92,Yes
Information Systems,Information Systems,3.72,1169,21,2,5,8,1,2,4,3.48,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.38,1473,20,5,3,1,5,5,3,3.62,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),2.7,1521,34,4,9,1,6,8,7,3.4,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.83,1456,20,6,7,0,4,8,2,3.16,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.68,1531,29,3,9,10,0,9,9,4,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.86,1476,35,8,10,2,5,0,8,3.96,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.42,1490,25,10,6,10,8,1,5,3.39,Yes
Computer Engineering,Information Systems,3.53,1572,29,6,7,3,5,6,10,2.97,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),2.68,1590,32,10,0,6,10,0,0,3.56,Yes
Computer Science,Information Systems,3.81,1236,28,0,4,7,6,10,6,3.54,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.93,1218,22,0,8,8,5,2,6,3.93,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.82,1265,21,2,5,3,2,7,10,2.74,Yes
Computer Engineering,Information Systems,3.39,1164,21,5,7,8,5,3,8,3.02,Yes
Electrical Engineering,Information Systems,3.49,1102,35,3,6,4,7,8,9,2.68,Yes
Environmental Engineering,Information Systems,2.56,1448,22,3,10,8,6,2,7,2.97,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.36,1078,27,7,6,6,2,9,2,3.77,Yes
Chemical Engineering,Information Systems,3.06,1058,31,5,5,3,5,10,10,3.99,Yes
Chemical Engineering,Information Systems,3.7,1444,22,6,10,8,9,8,0,2.59,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.53,1422,24,9,6,3,2,6,1,3.2,Yes
Information Systems,Information Systems,3.67,1498,20,2,4,8,0,10,8,3.72,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.17,1132,28,2,9,4,2,6,6,3.2,Yes
Bioinformatics and Computational Biology,Information Systems,3.09,1458,26,10,9,4,10,1,5,3.08,No
Computer Engineering,Computer Science and Electrical Engineering,2.53,1377,27,8,3,9,8,8,10,2.91,Yes
Electrical Engineering,Information Systems,3.73,1339,29,3,0,10,1,2,9,3.92,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.96,1047,26,5,3,8,0,0,9,2.5,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.64,1358,28,4,10,4,7,5,6,2.75,Yes
Business TechNology Administration,Information Systems,3.32,1061,30,3,6,2,2,0,0,3.54,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.35,1396,28,2,3,8,3,8,8,3.13,Yes
Electrical Engineering,Information Systems,3.65,1420,30,4,6,3,2,7,4,2.59,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.44,1217,32,1,4,3,8,10,6,2.85,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.65,1284,23,4,0,6,4,6,6,3.72,No
Mechanical Engineering,Information Systems,2.89,1308,26,6,8,5,1,3,10,3.42,Yes
Chemical Engineering,Information Systems,3.69,1208,34,1,6,7,3,3,2,3.35,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.18,1084,23,0,9,7,6,10,3,3.18,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.18,1307,32,5,6,6,1,5,10,3.82,Yes
Computer Science,Computer Science and Electrical Engineering,3.41,1444,21,3,9,9,0,8,8,3.29,No
Computer Science,Computer Science and Electrical Engineering,3.53,1511,26,3,0,6,5,3,5,2.74,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.82,1178,23,6,2,6,1,2,3,3.57,Yes
Mechanical Engineering,Information Systems,2.99,1076,25,3,1,7,1,4,7,3.02,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.18,1094,24,6,5,6,7,9,7,2.94,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.56,1421,27,7,8,1,0,4,3,3.29,Yes
Information Systems,Mechanical Engineering,2.51,1562,26,9,7,5,7,9,2,3.25,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.8,1323,21,1,10,6,10,10,3,3.97,Yes
Electrical Engineering,Information Systems,2.97,1542,25,1,8,10,2,5,3,2.7,Yes
Mechanical Engineering,Information Systems,3.57,1341,35,7,9,6,8,2,1,3.19,Yes
Computer Science,Information Systems,3.82,1089,26,6,1,8,6,7,0,3.82,No
Business TechNology Administration,Information Systems,2.68,1101,30,9,3,1,4,9,2,2.84,Yes
Business TechNology Administration,Information Systems,3.42,1552,32,9,10,3,6,3,3,3.64,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.43,1194,22,0,9,0,10,9,8,3.81,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.77,1318,31,5,0,5,3,2,10,3.94,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.76,1482,32,7,1,2,0,10,9,3.46,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.51,1146,34,7,7,4,9,9,10,3.71,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.89,1438,31,0,3,7,7,8,7,3.12,Yes
Cybersecurity Informatics,Information Systems,3.47,1202,26,8,5,10,6,6,8,3.31,Yes
Mechanical Engineering,Information Systems,3.93,1096,34,4,0,6,3,1,5,3.09,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.92,1252,25,9,3,8,3,3,1,3.77,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.12,1129,24,7,4,9,2,5,9,3.8,Yes
Computer Science,Information Systems,3.26,1146,29,1,0,0,1,10,4,3.45,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.86,1042,33,9,10,6,0,1,9,3.81,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.72,1463,31,7,0,2,0,9,1,3.06,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.63,1088,23,9,10,1,4,4,10,3.06,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.93,1395,31,2,1,5,6,5,1,3.46,Yes
Electrical Engineering,Mechanical Engineering,2.68,1168,32,2,0,6,7,4,9,3.56,Yes
Environmental Engineering,Information Systems,3.73,1580,32,5,8,7,3,10,0,2.59,Yes
Mechanical Engineering,Information Systems,3.9,1390,31,4,9,6,2,3,2,3.39,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.66,1096,30,4,9,2,1,2,3,2.9,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.8,1305,29,1,10,1,3,7,2,3.36,Yes
Computer Science,Computer Science and Electrical Engineering,2.82,1139,34,9,8,8,0,1,1,3.27,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.1,1200,33,8,10,7,0,2,10,3.49,Yes
Business TechNology Administration,Information Systems,3.39,1422,31,2,9,3,7,7,4,3.12,Yes
Cybersecurity Informatics,Information Systems,2.72,1494,33,0,2,7,0,9,4,2.7,Yes
Cybersecurity Informatics,Information Systems,2.69,1340,22,1,10,6,6,3,9,3.78,No
Information Systems,Computer Science and Electrical Engineering,3.77,1571,25,1,5,2,4,1,3,3.23,Yes
Mechanical Engineering,Information Systems,2.56,1440,35,7,10,2,5,10,5,2.84,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.69,1438,31,7,5,0,7,8,8,3.29,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.92,1055,31,3,10,4,7,1,8,2.91,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.94,1025,25,3,0,3,0,8,9,3.33,Yes
Computer Science,Information Systems,2.85,1586,22,9,2,6,7,0,1,3.7,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.7,1195,21,6,7,2,5,4,6,2.63,Yes
Business TechNology Administration,Mechanical Engineering,3.12,1269,22,3,9,3,3,5,6,3.91,Yes
